timestamp,device_id,protocol,event_type,cycle,value,severity,source_ip
2025-08-01T08:00:00Z,OpenPLC-004,OpenPLC,cycle_end,29,injected,critical,10.0.0.254
2025-08-01T08:00:07Z,OpenPLC-005,OpenPLC,cycle_end,54,fail,critical,192.168.99.99
2025-08-01T08:00:16Z,OpenPLC-001,OpenPLC,cycle_end,46,ok,critical,10.0.0.254
2025-08-01T08:00:26Z,OpenPLC-001,OpenPLC,cycle_end,47,fail,critical,10.0.0.254
2025-08-01T08:00:31Z,OpenPLC-001,OpenPLC,cycle_end,55,fail,critical,10.0.0.254
2025-08-01T08:00:39Z,OpenPLC-002,OpenPLC,logic_injection,25,ok,critical,192.168.99.99
2025-08-01T08:00:47Z,OpenPLC-001,OpenPLC,cycle_start,88,ok,critical,192.168.99.99
2025-08-01T08:00:53Z,OpenPLC-005,OpenPLC,cycle_end,49,fail,critical,192.168.99.99
2025-08-01T08:00:59Z,OpenPLC-005,OpenPLC,cycle_end,97,injected,critical,192.168.99.99
2025-08-01T08:01:05Z,OpenPLC-003,OpenPLC,cycle_end,70,injected,critical,192.168.99.99
2025-08-01T08:01:15Z,OpenPLC-004,OpenPLC,cycle_end,58,ok,critical,10.0.0.254
2025-08-01T08:01:24Z,OpenPLC-001,OpenPLC,logic_injection,96,fail,critical,192.168.99.99
2025-08-01T08:01:31Z,OpenPLC-001,OpenPLC,cycle_start,66,injected,critical,10.0.0.254
2025-08-01T08:01:38Z,OpenPLC-005,OpenPLC,cycle_start,82,injected,critical,192.168.99.99
2025-08-01T08:01:43Z,OpenPLC-001,OpenPLC,cycle_end,54,fail,critical,10.0.0.254
2025-08-01T08:01:52Z,OpenPLC-005,OpenPLC,logic_injection,70,injected,critical,10.0.0.254
2025-08-01T08:02:01Z,OpenPLC-002,OpenPLC,cycle_start,39,injected,critical,192.168.99.99
2025-08-01T08:02:06Z,OpenPLC-005,OpenPLC,logic_injection,86,fail,critical,10.0.0.254
2025-08-01T08:02:16Z,OpenPLC-002,OpenPLC,cycle_start,91,fail,critical,10.0.0.254
2025-08-01T08:02:21Z,OpenPLC-001,OpenPLC,logic_injection,77,fail,critical,192.168.99.99
2025-08-01T08:02:31Z,OpenPLC-004,OpenPLC,cycle_end,55,fail,critical,10.0.0.254
2025-08-01T08:02:39Z,OpenPLC-002,OpenPLC,logic_injection,84,fail,critical,10.0.0.254
2025-08-01T08:02:49Z,OpenPLC-001,OpenPLC,logic_injection,68,injected,critical,192.168.99.99
2025-08-01T08:02:56Z,OpenPLC-005,OpenPLC,cycle_end,50,injected,critical,192.168.99.99
2025-08-01T08:03:03Z,OpenPLC-001,OpenPLC,logic_injection,31,injected,critical,10.0.0.254
2025-08-01T08:03:08Z,OpenPLC-005,OpenPLC,cycle_start,76,injected,critical,10.0.0.254
2025-08-01T08:03:18Z,OpenPLC-004,OpenPLC,cycle_end,27,fail,critical,10.0.0.254
2025-08-01T08:03:24Z,OpenPLC-002,OpenPLC,logic_injection,24,fail,critical,192.168.99.99
2025-08-01T08:03:29Z,OpenPLC-001,OpenPLC,logic_injection,42,ok,critical,10.0.0.254
2025-08-01T08:03:34Z,OpenPLC-001,OpenPLC,cycle_end,83,injected,critical,10.0.0.254
2025-08-01T08:03:42Z,OpenPLC-002,OpenPLC,logic_injection,35,injected,critical,192.168.99.99
2025-08-01T08:03:48Z,OpenPLC-002,OpenPLC,cycle_start,12,fail,critical,192.168.99.99
2025-08-01T08:03:53Z,OpenPLC-001,OpenPLC,cycle_end,2,fail,critical,192.168.99.99
2025-08-01T08:04:01Z,OpenPLC-003,OpenPLC,logic_injection,67,ok,critical,10.0.0.254
2025-08-01T08:04:11Z,OpenPLC-004,OpenPLC,logic_injection,9,ok,critical,10.0.0.254
2025-08-01T08:04:16Z,OpenPLC-005,OpenPLC,cycle_end,34,fail,critical,192.168.99.99
2025-08-01T08:04:23Z,OpenPLC-004,OpenPLC,cycle_start,82,ok,critical,192.168.99.99
2025-08-01T08:04:29Z,OpenPLC-005,OpenPLC,logic_injection,33,fail,critical,10.0.0.254
2025-08-01T08:04:39Z,OpenPLC-002,OpenPLC,cycle_start,7,injected,critical,10.0.0.254
2025-08-01T08:04:47Z,OpenPLC-002,OpenPLC,cycle_end,21,fail,critical,10.0.0.254
2025-08-01T08:04:55Z,OpenPLC-003,OpenPLC,cycle_start,12,injected,critical,192.168.99.99
2025-08-01T08:05:04Z,OpenPLC-004,OpenPLC,cycle_end,100,injected,critical,10.0.0.254
2025-08-01T08:05:11Z,OpenPLC-004,OpenPLC,logic_injection,2,ok,critical,192.168.99.99
2025-08-01T08:05:19Z,OpenPLC-005,OpenPLC,cycle_end,24,ok,critical,10.0.0.254
2025-08-01T08:05:24Z,OpenPLC-005,OpenPLC,cycle_end,47,fail,critical,192.168.99.99
2025-08-01T08:05:29Z,OpenPLC-004,OpenPLC,cycle_start,49,injected,critical,192.168.99.99
2025-08-01T08:05:34Z,OpenPLC-001,OpenPLC,cycle_end,1,ok,critical,10.0.0.254
2025-08-01T08:05:42Z,OpenPLC-004,OpenPLC,cycle_end,37,ok,critical,192.168.99.99
2025-08-01T08:05:49Z,OpenPLC-005,OpenPLC,cycle_end,44,injected,critical,10.0.0.254
2025-08-01T08:05:54Z,OpenPLC-005,OpenPLC,cycle_start,37,ok,critical,10.0.0.254
2025-08-01T08:06:01Z,OpenPLC-003,OpenPLC,cycle_end,77,ok,critical,10.0.0.254
2025-08-01T08:06:07Z,OpenPLC-002,OpenPLC,cycle_end,30,fail,critical,192.168.99.99
2025-08-01T08:06:14Z,OpenPLC-004,OpenPLC,cycle_start,40,injected,critical,10.0.0.254
2025-08-01T08:06:24Z,OpenPLC-001,OpenPLC,logic_injection,87,injected,critical,192.168.99.99
2025-08-01T08:06:30Z,OpenPLC-003,OpenPLC,logic_injection,47,ok,critical,192.168.99.99
2025-08-01T08:06:36Z,OpenPLC-003,OpenPLC,cycle_end,68,fail,critical,10.0.0.254
2025-08-01T08:06:41Z,OpenPLC-003,OpenPLC,cycle_end,8,ok,critical,10.0.0.254
2025-08-01T08:06:50Z,OpenPLC-004,OpenPLC,cycle_start,99,injected,critical,192.168.99.99
2025-08-01T08:06:55Z,OpenPLC-003,OpenPLC,cycle_end,90,fail,critical,10.0.0.254
2025-08-01T08:07:04Z,OpenPLC-003,OpenPLC,cycle_start,41,injected,critical,192.168.99.99
